Country,Subnational region,Module,Indicator,Configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Male+Female,0.00463,0.00441,0.00421,0.00401,0.00383,0.00365,0.00348,0.00332,0.00317,0.00302,0.00289,0.00276,0.00264
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Male+Female,0.00391,0.00373,0.00356,0.00339,0.00323,0.00307,0.00292,0.00279,0.00266,0.00254,0.00242,0.00232,0.00222
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Male+Female,0.00357,0.0034,0.00325,0.0031,0.00295,0.0028,0.00267,0.00254,0.00243,0.00232,0.00221,0.00212,0.00203
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Male+Female,0.00333,0.00318,0.00304,0.0029,0.00276,0.00263,0.0025,0.00238,0.00227,0.00217,0.00207,0.00198,0.0019
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Male+Female,0.00307,0.00293,0.00281,0.00268,0.00255,0.00242,0.00231,0.0022,0.0021,0.002,0.00191,0.00183,0.00175
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Male+Female,0.0028,0.00268,0.00257,0.00246,0.00234,0.00222,0.00211,0.00201,0.00192,0.00183,0.00175,0.00167,0.0016
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Male+Female,0.00259,0.00248,0.00238,0.00228,0.00217,0.00206,0.00196,0.00186,0.00178,0.00169,0.00161,0.00154,0.00147
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Male+Female,0.00244,0.00234,0.00225,0.00215,0.00205,0.00195,0.00185,0.00176,0.00168,0.0016,0.00152,0.00145,0.00138
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Male+Female,0.00237,0.00227,0.00218,0.00209,0.00199,0.00189,0.00179,0.00171,0.00162,0.00155,0.00147,0.0014,0.00134
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Male+Female,0.00236,0.00227,0.00218,0.00209,0.00199,0.0019,0.0018,0.00171,0.00163,0.00156,0.00148,0.00141,0.00135
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Male+Female,0.00242,0.00232,0.00224,0.00215,0.00206,0.00197,0.00187,0.00179,0.00171,0.00163,0.00156,0.00149,0.00143
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Male+Female,0.00251,0.00242,0.00234,0.00226,0.00218,0.00209,0.002,0.00192,0.00185,0.00177,0.0017,0.00164,0.00157
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Male+Female,0.00263,0.00255,0.00247,0.0024,0.00232,0.00224,0.00217,0.0021,0.00202,0.00195,0.00189,0.00182,0.00175
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Male+Female,0.00276,0.00268,0.00261,0.00254,0.00247,0.0024,0.00234,0.00227,0.0022,0.00213,0.00207,0.002,0.00194
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Male+Female,0.00288,0.00281,0.00274,0.00268,0.00261,0.00255,0.00249,0.00242,0.00236,0.00229,0.00223,0.00217,0.0021
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Male+Female,0.00303,0.00295,0.00289,0.00282,0.00276,0.0027,0.00264,0.00258,0.00252,0.00245,0.00239,0.00233,0.00227
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Male+Female,0.00321,0.00313,0.00306,0.00299,0.00293,0.00287,0.00281,0.00275,0.00269,0.00263,0.00257,0.0025,0.00244
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Male+Female,0.00341,0.00332,0.00325,0.00318,0.00311,0.00305,0.00299,0.00293,0.00287,0.00281,0.00275,0.00269,0.00263
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Male+Female,0.00364,0.00353,0.00345,0.00337,0.00331,0.00325,0.00319,0.00313,0.00306,0.003,0.00294,0.00288,0.00282
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Male+Female,0.00388,0.00376,0.00366,0.00358,0.00351,0.00345,0.00339,0.00333,0.00327,0.0032,0.00314,0.00308,0.00301
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Male+Female,0.00417,0.00402,0.0039,0.00381,0.00374,0.00368,0.00362,0.00355,0.00348,0.00342,0.00335,0.00329,0.00322
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Male+Female,0.00452,0.00432,0.00418,0.00408,0.00399,0.00392,0.00385,0.00378,0.00371,0.00364,0.00357,0.0035,0.00343
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Male+Female,0.00491,0.00465,0.00448,0.00436,0.00427,0.00419,0.00411,0.00403,0.00395,0.00388,0.0038,0.00373,0.00365
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Male+Female,0.00531,0.005,0.0048,0.00466,0.00456,0.00447,0.00439,0.0043,0.00421,0.00413,0.00405,0.00397,0.00389
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Male+Female,0.00573,0.00536,0.00513,0.00497,0.00485,0.00475,0.00466,0.00457,0.00447,0.00439,0.0043,0.00422,0.00414
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Male+Female,0.00619,0.00576,0.00548,0.0053,0.00516,0.00505,0.00494,0.00484,0.00474,0.00465,0.00456,0.00448,0.00439
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Male+Female,0.00667,0.00617,0.00585,0.00565,0.00549,0.00536,0.00524,0.00513,0.00502,0.00493,0.00484,0.00475,0.00466
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Male+Female,0.00716,0.00659,0.00623,0.006,0.00582,0.00567,0.00554,0.00542,0.00531,0.00521,0.00512,0.00502,0.00493
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Male+Female,0.00763,0.007,0.0066,0.00635,0.00615,0.00599,0.00585,0.00572,0.0056,0.00549,0.0054,0.0053,0.0052
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Male+Female,0.0081,0.00741,0.00697,0.00671,0.00649,0.00632,0.00617,0.00603,0.0059,0.00578,0.00568,0.00558,0.00547
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 34; Total Region; Male+Female,0.00859,0.00784,0.00738,0.00709,0.00686,0.00667,0.0065,0.00635,0.00621,0.00609,0.00597,0.00586,0.00574
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 35; Total Region; Male+Female,0.00909,0.00828,0.00779,0.00748,0.00723,0.00703,0.00686,0.0067,0.00654,0.00641,0.00628,0.00616,0.00603
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 36; Total Region; Male+Female,0.00952,0.00867,0.00815,0.00783,0.00758,0.00738,0.0072,0.00703,0.00686,0.00672,0.00658,0.00645,0.00631
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 37; Total Region; Male+Female,0.00985,0.00898,0.00844,0.00812,0.00788,0.00767,0.00749,0.00732,0.00714,0.00699,0.00684,0.0067,0.00656
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 38; Total Region; Male+Female,0.01006,0.00918,0.00865,0.00834,0.00811,0.00791,0.00774,0.00756,0.00739,0.00723,0.00707,0.00692,0.00677
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 39; Total Region; Male+Female,0.01021,0.00933,0.00882,0.00852,0.0083,0.00812,0.00795,0.00778,0.00761,0.00744,0.00728,0.00712,0.00697
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 40; Total Region; Male+Female,0.01033,0.00947,0.00896,0.00869,0.00848,0.00831,0.00815,0.00799,0.00781,0.00764,0.00748,0.00731,0.00714
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 41; Total Region; Male+Female,0.01043,0.00958,0.00909,0.00883,0.00864,0.00848,0.00833,0.00817,0.00799,0.00782,0.00765,0.00749,0.00731
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 42; Total Region; Male+Female,0.0105,0.00968,0.00921,0.00896,0.00877,0.00862,0.00848,0.00833,0.00816,0.00799,0.00782,0.00765,0.00748
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 43; Total Region; Male+Female,0.01053,0.00975,0.0093,0.00906,0.00889,0.00874,0.00861,0.00845,0.00829,0.00813,0.00796,0.0078,0.00763
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 44; Total Region; Male+Female,0.01046,0.00974,0.00933,0.00911,0.00894,0.00881,0.00869,0.00855,0.00839,0.00824,0.00808,0.00792,0.00775
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 45; Total Region; Male+Female,0.01035,0.00968,0.00931,0.00912,0.00897,0.00885,0.00874,0.00861,0.00847,0.00833,0.00819,0.00804,0.00788
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 46; Total Region; Male+Female,0.01026,0.00966,0.00932,0.00915,0.00902,0.00891,0.00881,0.0087,0.00857,0.00844,0.00831,0.00817,0.00802
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 47; Total Region; Male+Female,0.01024,0.00968,0.00938,0.00922,0.0091,0.00901,0.00892,0.00881,0.00869,0.00858,0.00845,0.00833,0.00819
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 48; Total Region; Male+Female,0.0103,0.00978,0.00949,0.00934,0.00923,0.00915,0.00906,0.00896,0.00885,0.00874,0.00863,0.00851,0.00838
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 49; Total Region; Male+Female,0.01044,0.00995,0.00968,0.00953,0.00943,0.00934,0.00926,0.00916,0.00906,0.00896,0.00885,0.00874,0.00862
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 50; Total Region; Male+Female,0.01063,0.01017,0.00991,0.00977,0.00967,0.00958,0.0095,0.00941,0.00931,0.00921,0.00911,0.009,0.00888
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 51; Total Region; Male+Female,0.01087,0.01043,0.01019,0.01005,0.00995,0.00987,0.00979,0.0097,0.0096,0.00951,0.00941,0.0093,0.00918
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 52; Total Region; Male+Female,0.01113,0.01073,0.0105,0.01037,0.01027,0.01019,0.01011,0.01002,0.00992,0.00983,0.00973,0.00963,0.00951
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 53; Total Region; Male+Female,0.01144,0.01107,0.01086,0.01073,0.01063,0.01054,0.01047,0.01038,0.01028,0.01019,0.0101,0.01,0.00988
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 54; Total Region; Male+Female,0.01185,0.01149,0.01129,0.01115,0.01105,0.01096,0.01088,0.01079,0.01069,0.0106,0.01051,0.01041,0.0103
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 55; Total Region; Male+Female,0.01237,0.01201,0.0118,0.01166,0.01155,0.01146,0.01137,0.01127,0.01117,0.01107,0.01098,0.01087,0.01076
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 56; Total Region; Male+Female,0.013,0.01262,0.0124,0.01225,0.01213,0.01203,0.01193,0.01183,0.01172,0.01162,0.01151,0.01141,0.01129
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 57; Total Region; Male+Female,0.01371,0.01332,0.01309,0.01293,0.0128,0.01268,0.01258,0.01247,0.01235,0.01224,0.01213,0.01202,0.0119
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 58; Total Region; Male+Female,0.01453,0.01412,0.01389,0.01371,0.01357,0.01345,0.01333,0.01321,0.01309,0.01297,0.01286,0.01274,0.01262
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 59; Total Region; Male+Female,0.01551,0.01509,0.01485,0.01466,0.0145,0.01437,0.01424,0.01411,0.01398,0.01385,0.01373,0.0136,0.01347
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 60; Total Region; Male+Female,0.01669,0.01625,0.01599,0.01578,0.01561,0.01546,0.01532,0.01517,0.01503,0.0149,0.01476,0.01463,0.01449
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 61; Total Region; Male+Female,0.01805,0.01757,0.01729,0.01707,0.01688,0.01671,0.01655,0.01639,0.01624,0.01609,0.01594,0.0158,0.01565
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 62; Total Region; Male+Female,0.01955,0.01903,0.01874,0.0185,0.01829,0.0181,0.01793,0.01775,0.01758,0.01742,0.01726,0.0171,0.01694
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 63; Total Region; Male+Female,0.0212,0.02064,0.02034,0.02008,0.01986,0.01965,0.01945,0.01926,0.01907,0.01889,0.01871,0.01854,0.01837
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 64; Total Region; Male+Female,0.02306,0.02245,0.02214,0.02187,0.02162,0.02139,0.02118,0.02096,0.02075,0.02055,0.02036,0.02017,0.01998
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 65; Total Region; Male+Female,0.02517,0.0245,0.02417,0.02389,0.02362,0.02338,0.02314,0.0229,0.02267,0.02245,0.02223,0.02202,0.02181
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 66; Total Region; Male+Female,0.02755,0.0268,0.02646,0.02615,0.02587,0.02561,0.02535,0.02509,0.02483,0.02458,0.02434,0.02411,0.02388
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 67; Total Region; Male+Female,0.0302,0.02936,0.02899,0.02866,0.02836,0.02808,0.0278,0.02752,0.02724,0.02697,0.0267,0.02644,0.02618
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 68; Total Region; Male+Female,0.03315,0.03219,0.0318,0.03145,0.03112,0.03082,0.03052,0.03022,0.02992,0.02962,0.02933,0.02904,0.02875
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 69; Total Region; Male+Female,0.03645,0.03536,0.03494,0.03456,0.03422,0.03389,0.03357,0.03325,0.03292,0.0326,0.03228,0.03197,0.03166
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 70; Total Region; Male+Female,0.04017,0.03891,0.03847,0.03806,0.03768,0.03733,0.03699,0.03664,0.0363,0.03596,0.03562,0.03528,0.03493
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 71; Total Region; Male+Female,0.04433,0.04287,0.04239,0.04195,0.04154,0.04116,0.04079,0.04042,0.04006,0.03969,0.03933,0.03897,0.0386
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 72; Total Region; Male+Female,0.04901,0.0473,0.04678,0.04631,0.04587,0.04546,0.04506,0.04467,0.04427,0.04388,0.0435,0.04311,0.0427
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 73; Total Region; Male+Female,0.05417,0.05219,0.05166,0.05117,0.05071,0.05026,0.04983,0.0494,0.04896,0.04852,0.04809,0.04766,0.04722
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 74; Total Region; Male+Female,0.05979,0.05749,0.05694,0.05642,0.05593,0.05546,0.055,0.05453,0.05405,0.05358,0.05311,0.05265,0.05218
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 75; Total Region; Male+Female,0.06596,0.06326,0.06268,0.06212,0.0616,0.0611,0.06061,0.06011,0.05961,0.05912,0.05863,0.05815,0.05766
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 76; Total Region; Male+Female,0.07275,0.06958,0.06896,0.06837,0.06782,0.06729,0.06676,0.06623,0.0657,0.06517,0.06464,0.06412,0.0636
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 77; Total Region; Male+Female,0.08019,0.07645,0.07579,0.07517,0.07458,0.07402,0.07346,0.0729,0.07233,0.07177,0.07121,0.07065,0.07009
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 78; Total Region; Male+Female,0.08831,0.08389,0.0832,0.08255,0.08193,0.08133,0.08074,0.08014,0.07954,0.07894,0.07834,0.07774,0.07714
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 79; Total Region; Male+Female,0.09718,0.09198,0.09126,0.09056,0.08991,0.08928,0.08866,0.08803,0.08739,0.08675,0.08612,0.08547,0.08483
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 80; Total Region; Male+Female,0.16669,0.2757,0.27482,0.27408,0.27357,0.27308,0.27237,0.2715,0.27045,0.26921,0.26788,0.26658,0.26531
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 0; Total Region; Male,0.05036,0.04922,0.04815,0.04716,0.04622,0.04533,0.04447,0.04363,0.04282,0.04203,0.04126,0.04051,0.03975
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 1; Total Region; Male,0.02589,0.02464,0.0235,0.02247,0.02153,0.02065,0.01984,0.01906,0.01833,0.01764,0.017,0.01637,0.01576
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 2; Total Region; Male,0.01405,0.01351,0.013,0.01251,0.01205,0.01162,0.0112,0.01081,0.01044,0.01009,0.00975,0.00942,0.0091
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 3; Total Region; Male,0.00668,0.00641,0.00614,0.00588,0.00563,0.0054,0.00518,0.00497,0.00477,0.00459,0.00441,0.00424,0.00407
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Male,0.00485,0.00465,0.00445,0.00426,0.00407,0.00389,0.00373,0.00357,0.00342,0.00329,0.00316,0.00303,0.00291
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Male,0.00414,0.00397,0.0038,0.00363,0.00347,0.00332,0.00318,0.00304,0.00292,0.0028,0.00269,0.00259,0.00248
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Male,0.00381,0.00366,0.0035,0.00335,0.00321,0.00306,0.00293,0.00281,0.00269,0.00259,0.00249,0.00239,0.0023
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Male,0.00358,0.00343,0.0033,0.00316,0.00302,0.00289,0.00276,0.00265,0.00254,0.00244,0.00235,0.00226,0.00217
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Male,0.00328,0.00316,0.00304,0.00291,0.00278,0.00266,0.00254,0.00244,0.00234,0.00225,0.00216,0.00208,0.002
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Male,0.00298,0.00287,0.00277,0.00265,0.00254,0.00242,0.00232,0.00222,0.00213,0.00204,0.00196,0.00188,0.00181
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Male,0.00274,0.00265,0.00255,0.00245,0.00234,0.00224,0.00214,0.00204,0.00196,0.00188,0.0018,0.00173,0.00166
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Male,0.00258,0.00249,0.0024,0.00231,0.00221,0.00211,0.00201,0.00192,0.00184,0.00176,0.00169,0.00162,0.00155
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Male,0.00249,0.0024,0.00232,0.00223,0.00213,0.00204,0.00194,0.00185,0.00177,0.0017,0.00163,0.00156,0.0015
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Male,0.00249,0.0024,0.00232,0.00224,0.00214,0.00204,0.00195,0.00186,0.00179,0.00171,0.00164,0.00157,0.00151
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Male,0.00257,0.00249,0.00241,0.00232,0.00223,0.00214,0.00205,0.00197,0.00189,0.00182,0.00174,0.00168,0.00161
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Male,0.00271,0.00263,0.00256,0.00248,0.00239,0.00231,0.00223,0.00215,0.00207,0.002,0.00193,0.00186,0.0018
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Male,0.00288,0.00281,0.00274,0.00267,0.0026,0.00253,0.00245,0.00238,0.00231,0.00224,0.00217,0.00211,0.00204
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Male,0.00307,0.003,0.00294,0.00287,0.00281,0.00274,0.00268,0.00261,0.00254,0.00248,0.00241,0.00234,0.00228
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Male,0.00324,0.00318,0.00312,0.00305,0.00299,0.00293,0.00286,0.0028,0.00274,0.00267,0.00261,0.00254,0.00248
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Male,0.00341,0.00335,0.00329,0.00323,0.00317,0.00311,0.00305,0.00299,0.00292,0.00286,0.0028,0.00274,0.00267
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Male,0.0036,0.00353,0.00347,0.00341,0.00335,0.0033,0.00324,0.00318,0.00312,0.00306,0.003,0.00294,0.00287
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Male,0.0038,0.00373,0.00367,0.0036,0.00355,0.00349,0.00344,0.00338,0.00332,0.00326,0.0032,0.00314,0.00308
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Male,0.00402,0.00394,0.00387,0.0038,0.00374,0.00369,0.00363,0.00357,0.00351,0.00345,0.00339,0.00333,0.00327
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Male,0.00423,0.00414,0.00406,0.00398,0.00393,0.00387,0.00382,0.00376,0.0037,0.00364,0.00358,0.00352,0.00345
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Male,0.00446,0.00434,0.00424,0.00416,0.0041,0.00405,0.00399,0.00394,0.00387,0.00381,0.00375,0.00368,0.00362
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Male,0.00471,0.00456,0.00444,0.00435,0.00428,0.00421,0.00415,0.00409,0.00402,0.00396,0.00389,0.00383,0.00376
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Male,0.00497,0.00479,0.00465,0.00455,0.00446,0.00438,0.00431,0.00424,0.00417,0.0041,0.00403,0.00397,0.0039
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Male,0.00526,0.00504,0.00488,0.00476,0.00466,0.00458,0.0045,0.00442,0.00434,0.00427,0.0042,0.00413,0.00406
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Male,0.00557,0.00532,0.00513,0.005,0.00489,0.0048,0.00471,0.00463,0.00454,0.00447,0.00439,0.00432,0.00424
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Male,0.00592,0.00562,0.00541,0.00526,0.00514,0.00504,0.00494,0.00485,0.00476,0.00468,0.0046,0.00453,0.00445
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Male,0.00629,0.00595,0.00571,0.00554,0.00541,0.0053,0.00519,0.00509,0.005,0.00491,0.00483,0.00475,0.00467
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Male,0.00669,0.0063,0.00603,0.00585,0.0057,0.00557,0.00546,0.00535,0.00525,0.00516,0.00508,0.00499,0.0049
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Male,0.00709,0.00666,0.00636,0.00616,0.00599,0.00586,0.00574,0.00562,0.00552,0.00542,0.00533,0.00524,0.00515
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Male,0.00752,0.00703,0.0067,0.00648,0.00631,0.00617,0.00604,0.00592,0.0058,0.0057,0.0056,0.00551,0.00541
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 34; Total Region; Male,0.008,0.00746,0.00709,0.00686,0.00667,0.00651,0.00638,0.00624,0.00612,0.00601,0.00591,0.0058,0.0057
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 35; Total Region; Male,0.00847,0.00789,0.0075,0.00725,0.00706,0.0069,0.00675,0.00661,0.00648,0.00636,0.00624,0.00613,0.00601
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 36; Total Region; Male,0.00891,0.00828,0.00787,0.00762,0.00743,0.00727,0.00713,0.00698,0.00684,0.00671,0.00658,0.00646,0.00633
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 37; Total Region; Male,0.0093,0.00864,0.00821,0.00795,0.00776,0.0076,0.00745,0.0073,0.00715,0.00702,0.00688,0.00675,0.00662
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 38; Total Region; Male,0.00963,0.00894,0.0085,0.00824,0.00805,0.00788,0.00774,0.00759,0.00744,0.00729,0.00716,0.00702,0.00688
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 39; Total Region; Male,0.00991,0.0092,0.00875,0.0085,0.0083,0.00814,0.00799,0.00784,0.00769,0.00755,0.00741,0.00727,0.00712
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 40; Total Region; Male,0.01017,0.00944,0.00899,0.00873,0.00854,0.00838,0.00823,0.00808,0.00793,0.00778,0.00764,0.0075,0.00735
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 41; Total Region; Male,0.01039,0.00966,0.0092,0.00895,0.00876,0.0086,0.00846,0.00831,0.00816,0.00801,0.00787,0.00773,0.00758
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 42; Total Region; Male,0.01058,0.00986,0.00941,0.00916,0.00898,0.00883,0.00869,0.00854,0.00839,0.00824,0.0081,0.00796,0.0078
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 43; Total Region; Male,0.01074,0.01005,0.00962,0.00937,0.00919,0.00904,0.00891,0.00876,0.0086,0.00846,0.00831,0.00816,0.00801
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 44; Total Region; Male,0.01085,0.01018,0.00977,0.00953,0.00935,0.00921,0.00908,0.00893,0.00878,0.00864,0.0085,0.00835,0.0082
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 45; Total Region; Male,0.01093,0.0103,0.0099,0.00967,0.0095,0.00936,0.00923,0.00909,0.00895,0.00882,0.00869,0.00855,0.00841
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 46; Total Region; Male,0.01104,0.01045,0.01007,0.00985,0.00968,0.00955,0.00942,0.00929,0.00915,0.00902,0.0089,0.00877,0.00863
